time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-07T19:51:26.360Z,39.6466,-98.3822,5,2.8,mb_lg,,52,1.249,0.64,us,us2000iskc,2019-01-09T19:47:54.040Z,"21km SW of Mankato, Kansas",earthquake,3,2,0.117,19,reviewed,us,us
2018-12-07T07:06:47.810Z,36.6506667,-121.2736667,9.05,2.75,md,24,110,0.05163,0.14,nc,nc73119876,2018-12-13T02:22:04.783Z,"16km SSE of Tres Pinos, CA",earthquake,0.29,0.54,0.173,23,reviewed,nc,nc
2018-12-07T07:06:44.530Z,36.6555,-121.2711667,8.36,2.83,md,45,66,0.05665,0.07,nc,nc73119881,2018-12-13T01:37:03.511Z,"16km SSE of Tres Pinos, CA",earthquake,0.13,0.5,0.18,51,reviewed,nc,nc
2018-12-06T14:24:41.170Z,33.4885,-116.8036667,2.18,2.6,ml,124,22,0.02397,0.21,ci,ci38387600,2018-12-20T20:36:26.131Z,"8km NE of Aguanga, CA",earthquake,0.11,0.27,0.142,26,reviewed,ci,ci
2018-12-06T06:00:51.010Z,33.487,-116.8036667,1.91,2.95,ml,137,11,0.02545,0.22,ci,ci38387288,2019-01-09T13:55:41.040Z,"8km NE of Aguanga, CA",earthquake,0.1,0.25,0.165,206,reviewed,ci,ci
2018-12-06T03:25:25.920Z,40.0483333,-120.8096667,0.8,2.88,md,33,139,0.05798,0.15,nc,nc73119456,2018-12-07T02:05:34.619Z,"4km SE of Taylorsville, CA",earthquake,0.34,1.22,0.16,43,reviewed,nc,nc
2018-12-06T00:25:12.610Z,40.0416667,-120.7873333,2.35,2.6,md,26,115,0.07502,0.1,nc,nc73119441,2018-12-07T02:05:25.199Z,"6km SE of Taylorsville, CA",earthquake,0.31,0.83,0.135,41,reviewed,nc,nc
2018-12-05T22:10:06.190Z,35.7286667,-117.0745,1.68,3.73,mw,54,38,0.2346,0.14,ci,ci38386992,2019-01-10T05:21:40.287Z,"28km E of Trona, CA",earthquake,0.12,0.49,,6,reviewed,ci,ci
2018-12-05T21:40:16.620Z,35.7303333,-117.0776667,0.84,4.2,mw,60,34,0.2316,0.17,ci,ci38386960,2019-02-01T21:57:20.557Z,"28km E of Trona, CA",earthquake,0.13,0.61,,6,reviewed,ci,ci
2018-12-05T16:55:16.900Z,36.1135,-97.8447,5,3.3,ml,,43,0.107,0.34,us,us1000i2x0,2018-12-11T07:30:04.608Z,"4km E of Hennessey, Oklahoma",earthquake,1.1,4.5,,31,reviewed,ok,ok
2018-12-05T15:18:43.390Z,34.5196667,-119.1431667,11.67,2.73,ml,65,30,0.08268,0.34,ci,ci38386496,2018-12-08T06:06:54.846Z,"12km NE of Ojai, CA",earthquake,0.28,0.83,0.149,124,reviewed,ci,ci
2018-12-05T12:32:28.610Z,40.044,-120.8033333,2.2,2.53,md,31,84,0.0627,0.13,nc,nc73119346,2018-12-06T17:55:03.432Z,"4km SE of Taylorsville, CA",earthquake,0.32,0.58,0.165,34,reviewed,nc,nc
2018-12-05T12:08:22.920Z,44.1811,-114.3611,5,2.5,ml,,58,0.619,0.86,us,us1000i2ut,2019-01-13T07:37:37.040Z,"37km SSW of Challis, Idaho",earthquake,1.9,1.9,0.06,36,reviewed,us,us
2018-12-05T09:01:36.850Z,37.4048333,-118.604,10.1,3.19,ml,38,73,0.06094,0.06,nc,nc73119281,2019-01-13T07:12:45.040Z,"1km SSW of Round Valley, CA",earthquake,0.28,0.75,0.202,13,reviewed,nc,nc
2018-12-05T07:43:06.840Z,36.0985,-97.8708,4.38,2.6,ml,,40,0.123,0.29,us,us1000i2km,2019-01-07T13:52:59.040Z,"2km ESE of Hennessey, Oklahoma",earthquake,1.1,2.1,0.186,25,reviewed,ok,ok
2018-12-05T02:02:59.100Z,36.4547,-98.8018,5.79,3.2,ml,,71,0.005,0.47,us,us1000i2fg,2018-12-17T23:46:40.031Z,"35km NW of Fairview, Oklahoma",earthquake,0.7,3.8,0.134,20,reviewed,ok,ok
2018-12-04T22:06:55.200Z,33.4848333,-116.8036667,1.26,3.23,ml,126,18,0.0276,0.23,ci,ci38385480,2018-12-22T05:14:19.040Z,"7km NE of Aguanga, CA",earthquake,0.11,0.23,0.153,278,reviewed,ci,ci
2018-12-04T21:49:23.170Z,33.4845,-116.8023333,2.16,2.71,ml,109,11,0.02785,0.21,ci,ci38385432,2018-12-04T22:57:59.560Z,"7km NE of Aguanga, CA",earthquake,0.12,0.28,0.155,27,reviewed,ci,ci
2018-12-04T15:14:25.886Z,39.1155,-119.7303,8.4,3.2,ml,29,33.24,0.043,0.2119,nn,nn00668094,2019-01-13T14:11:16.024Z,"5km NE of Indian Hills, Nevada",earthquake,,0.9,0.34,15,reviewed,nn,nn
2018-12-04T00:05:59.030Z,37.5425,-121.8381667,3.88,2.59,md,73,31,0.03914,0.07,nc,nc73118896,2018-12-04T23:57:04.383Z,"8km SE of Sunol, CA",earthquake,0.1,0.3,0.155,79,reviewed,nc,nc
2018-12-03T22:44:56.920Z,33.4906667,-116.8038333,2.42,3.1,ml,141,11,0.02184,0.22,ci,ci38152023,2018-12-21T17:01:22.877Z,"8km NE of Aguanga, CA",earthquake,0.1,0.26,0.153,221,reviewed,ci,ci
2018-12-03T21:50:08.900Z,40.9818333,-123.5788333,27.47,3.4,ml,40,40,0.1582,0.17,nc,nc73118836,2018-12-14T04:31:25.040Z,"6km NE of Willow Creek, CA",earthquake,0.4,1.09,0.278,19,reviewed,nc,nc
2018-12-03T16:28:24.410Z,32.9176667,-116.2215,11.08,2.75,ml,90,52,0.1634,0.22,ci,ci38151303,2018-12-04T00:31:07.859Z,"26km SSW of Ocotillo Wells, CA",earthquake,0.14,0.45,0.15,109,reviewed,ci,ci
2018-12-03T05:26:42.320Z,39.8281667,-122.7723333,2.4,2.55,md,25,69,0.0915,0.07,nc,nc73118476,2018-12-04T05:13:02.615Z,"20km NNW of Alder Springs, CA",earthquake,0.17,1.15,0.207,48,reviewed,nc,nc
2018-12-03T04:15:40.080Z,42.6237,-108.4092,5,2.7,ml,,102,0.858,0.34,us,us1000i0y8,2018-12-14T02:03:29.377Z,"35km SE of Lander, Wyoming",earthquake,1.9,2,0.046,63,reviewed,us,us
2018-12-02T09:36:37.590Z,36.0974,-97.8759,5.47,2.6,ml,,49,0.169,0.37,us,us1000i0dc,2018-12-14T09:23:48.040Z,"2km ESE of Hennessey, Oklahoma",earthquake,1.3,3.2,,37,reviewed,us,ok
2018-12-02T05:17:07.750Z,31.5131667,-115.5048333,5.4,2.91,ml,11,114,0.2677,0.35,ci,ci38150343,2018-12-03T16:43:30.740Z,"86km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.52,31.61,0.127,41,reviewed,ci,ci
2018-12-02T00:12:48.870Z,36.4162,-96.9059,7.17,3.1,mb_lg,,56,0.03,0.24,us,us1000i02y,2019-01-03T03:19:26.040Z,"12km NW of Pawnee, Oklahoma",earthquake,1,2.1,0.052,98,reviewed,us,us
2018-12-01T14:14:56.590Z,36.6973,-97.6835,8.84,2.5,ml,,53,,0.18,us,us1000hzm0,2018-12-30T17:35:31.267Z,"12km SSE of Medford, Oklahoma",earthquake,0.7,8.5,0.322,34,reviewed,ok,ok
2018-12-01T12:51:48.840Z,36.2045,-98.9225,7.08,2.6,ml,,108,0.107,0.83,us,us1000hziv,2018-12-14T09:12:27.040Z,"18km NNE of Taloga, Oklahoma",earthquake,1.8,3.3,0.257,18,reviewed,ok,ok
2018-12-01T12:34:32.890Z,36.2067,-98.9228,6.87,2.9,ml,,77,0.107,0.63,us,us1000hzii,2018-12-14T08:59:46.040Z,"19km N of Taloga, Oklahoma",earthquake,1.6,3.8,0.302,22,reviewed,ok,ok
2018-12-01T10:40:05.180Z,42.6896,-111.4968,5,2.5,ml,,138,0.232,0.23,us,us1000hzgd,2018-12-29T06:59:34.706Z,"9km ENE of Soda Springs, Idaho",earthquake,1.6,1.9,0.06,36,reviewed,us,us
2018-12-01T09:35:37.043Z,35.8895,-115.761,1.4,2.5,ml,50,45.9,0.296,0.178,nn,nn00667735,2018-12-02T06:50:46.830Z,"14km NW of Sandy Valley, Nevada",earthquake,,1.2,0.35,24,reviewed,nn,nn
2018-12-01T04:37:58.000Z,38.7718333,-122.7318333,1.99,2.83,md,61,38,0.01159,0.07,nc,nc73117756,2018-12-06T16:34:52.156Z,"2km ESE of The Geysers, CA",earthquake,0.12,0.23,0.165,47,reviewed,nc,nc
2018-11-30T23:56:05.550Z,37.3583,-97.9744,5.8,3.2,mb_lg,,90,0.063,0.36,us,us1000hyzg,2018-12-06T04:59:16.942Z,"9km NNE of Harper, Kansas",earthquake,1.6,2.1,0.064,64,reviewed,us,us
2018-11-30T16:34:36.880Z,42.6811,-111.0437,5,3.1,ml,,66,0.094,0.67,us,us1000hydr,2018-12-30T14:48:39.826Z,"10km WSW of Afton, Wyoming",earthquake,1.3,1.4,0.04,84,reviewed,us,us
2018-11-30T10:53:19.660Z,36.1039,-97.8393,3.19,2.6,mb_lg,,43,0.191,0.21,us,us1000hy91,2019-01-03T11:54:12.040Z,"5km E of Hennessey, Oklahoma",earthquake,1.1,3.2,0.106,23,reviewed,us,us
2018-11-29T22:37:14.550Z,36.0053333,-117.7996667,1.74,2.57,ml,35,48,0.02398,0.11,ci,ci38149215,2018-11-30T00:31:14.670Z,"12km NE of Little Lake, CA",earthquake,0.11,0.13,0.122,23,reviewed,ci,ci
2018-11-29T13:48:53.480Z,33.014,-115.9866667,10.64,3.91,mw,99,32,0.1277,0.25,ci,ci38148759,2018-12-28T20:34:40.261Z,"20km SE of Ocotillo Wells, CA",earthquake,0.15,0.52,,3,reviewed,ci,ci
2018-11-29T03:29:51.560Z,34.6442,-96.3355,6.01,2.7,ml,,191,0.064,1.44,us,us1000hxrq,2018-11-30T04:14:34.040Z,"15km NW of Coalgate, Oklahoma",earthquake,2.3,5.7,0.235,20,reviewed,ok,ok
2018-11-29T02:46:19.360Z,36.1818333,-120.2843333,9.91,2.81,md,43,117,0.1685,0.07,nc,nc73116906,2018-11-29T23:10:02.434Z,"8km NE of Coalinga, CA",earthquake,0.22,0.66,0.157,100,reviewed,nc,nc
2018-11-28T22:12:13.930Z,36.4872,-98.7257,7.32,2.7,ml,,84,0.016,0.59,us,us1000hxn3,2019-01-10T02:04:58.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.7,3.4,0.324,31,reviewed,ok,ok
2018-11-28T05:20:45.540Z,36.2823,-97.5105,7.47,2.5,ml,,37,,0.13,us,us1000hxbm,2019-01-03T11:29:07.040Z,"19km W of Perry, Oklahoma",earthquake,0.7,4.9,0.251,37,reviewed,ok,ok
2018-11-28T02:36:53.690Z,35.5462,-96.091,17.91,2.8,ml,,142,0.437,0.91,us,us1000hxat,2018-11-30T05:06:49.040Z,"6km NW of Wilson, Oklahoma",earthquake,1.8,7.1,0.213,25,reviewed,ok,ok
2018-11-27T22:43:40.380Z,40.3128333,-124.6418333,22.82,2.72,md,28,246,0.271,0.16,nc,nc73116511,2018-11-28T23:27:03.577Z,"30km W of Petrolia, CA",earthquake,0.61,0.76,0.18,25,reviewed,nc,nc
2018-11-27T19:01:35.860Z,36.5312,-98.9548,6.12,2.8,ml,,154,0.105,0.59,us,us1000hx50,2018-12-22T22:06:00.040Z,"24km ENE of Mooreland, Oklahoma",earthquake,2.1,5.8,0.239,15,reviewed,ok,ok
2018-11-27T17:29:57.980Z,36.0743333,-120.1931667,10.83,2.87,md,63,54,0.06897,0.08,nc,nc73116451,2018-11-28T04:12:11.610Z,"10km NW of Avenal, CA",earthquake,0.2,0.38,0.147,90,reviewed,nc,nc
2018-11-27T16:00:51.120Z,36.0725,-120.1968333,10.69,2.5,md,60,86,0.07157,0.07,nc,nc73116431,2018-11-28T03:38:04.151Z,"10km NW of Avenal, CA",earthquake,0.23,0.37,0.161,65,reviewed,nc,nc
2018-11-27T14:21:01.590Z,36.2668,-97.6725,7.34,2.7,ml,,33,0.146,0.33,us,us1000hx18,2018-12-03T20:56:12.809Z,"20km E of Waukomis, Oklahoma",earthquake,1.1,8.2,0.165,25,reviewed,ok,ok
2018-11-27T13:07:12.830Z,36.0735,-120.1881667,10.8,4,mw,92,51,0.06483,0.11,nc,nc73116386,2018-12-03T19:24:09.040Z,"9km NW of Avenal, CA",earthquake,0.18,0.32,,5,reviewed,nc,nc
2018-11-27T09:50:49.060Z,39.6102,-107.337,5,2.5,ml,,92,0.871,0.5,us,us2000isjy,2018-12-11T18:50:55.040Z,"6km N of Glenwood Springs, Colorado",earthquake,1.8,1.9,0.049,55,reviewed,us,us
2018-11-27T08:07:07.060Z,34.6387,-96.3223,6.07,3.2,ml,,192,0.076,0.59,us,us1000hwyf,2018-12-14T08:09:16.040Z,"14km NW of Coalgate, Oklahoma",earthquake,1.9,5.3,0.194,17,reviewed,ok,ok
2018-11-26T15:42:49.810Z,34.053,-97.4342,6,3.1,ml,,62,0.22,0.77,us,us1000hwnz,2018-11-27T15:16:01.316Z,"12km S of Wilson, Oklahoma",earthquake,2.1,7.8,0.195,8,reviewed,ok,ok
2018-11-26T13:52:51.530Z,34.6437,-96.3232,5.68,3,ml,,249,0.072,1.15,us,us1000hwmw,2018-12-03T15:53:51.040Z,"15km NW of Coalgate, Oklahoma",earthquake,2.3,5.7,0.139,9,reviewed,ok,ok
2018-11-26T13:46:12.670Z,34.6358,-96.3272,5.8,3.1,ml,,249,0.075,1.06,us,us1000hwmq,2018-12-10T20:19:50.040Z,"14km NW of Coalgate, Oklahoma",earthquake,2,3.2,0.159,9,reviewed,ok,ok
2018-11-26T09:11:45.040Z,34.6465,-96.3168,4.87,2.9,mb_lg,,249,0.075,0.75,us,us1000hwla,2019-01-03T12:09:14.040Z,"15km NW of Coalgate, Oklahoma",earthquake,2,5.5,0.064,64,reviewed,ok,us
2018-11-26T06:57:53.920Z,44.4602,-114.1378,5,2.8,ml,,57,0.544,1.13,us,us1000hwkw,2019-01-02T11:27:36.040Z,"8km ESE of Challis, Idaho",earthquake,3.2,1.9,0.039,86,reviewed,us,us
2018-11-26T05:14:11.820Z,35.2323,-97.785,6.15,2.7,ml,,64,0.025,0.44,us,us1000hwkf,2019-01-02T13:09:43.040Z,"6km SSE of Tuttle, Oklahoma",earthquake,1.1,2.6,0.246,19,reviewed,ok,ok
2018-11-25T23:50:35.910Z,36.8162,-97.7066,5.85,2.5,ml,,41,0.127,0.31,us,us1000hwiv,2019-02-02T20:02:30.040Z,"2km ENE of Medford, Oklahoma",earthquake,0.7,2.4,0.058,39,reviewed,us,us
2018-11-25T22:24:48.620Z,35.233,-97.7888,6,3,ml,,64,0.028,0.83,us,us1000hwh3,2019-02-02T20:02:30.040Z,"6km SSE of Tuttle, Oklahoma",earthquake,1.5,4.4,0.259,17,reviewed,ok,ok
2018-11-25T21:05:48.030Z,43.8112,-105.4419,0,3.4,ml,,65,1.061,0.52,us,us1000hycg,2019-02-02T20:02:33.040Z,"Wyoming",mining explosion,5.4,1.7,0.049,54,reviewed,us,us
2018-11-25T20:39:58.960Z,43.6895,-105.1147,0,3.3,ml,,78,0.891,1.02,us,us1000hwfz,2019-02-02T20:02:30.040Z,"Wyoming",mining explosion,5.6,1.6,0.055,44,reviewed,us,us
2018-11-25T12:43:05.980Z,47.6857,-113.2327,10,2.8,ml,,57,0.642,0.84,us,us1000hwdj,2019-02-02T20:02:26.040Z,"59km NNE of Seeley Lake, Montana",earthquake,3.4,2,0.055,44,reviewed,us,us
2018-11-25T10:32:11.210Z,31.2288,-103.3251,3.05,2.5,mb_lg,,56,0.307,0.79,us,us1000hwcb,2019-02-02T20:02:30.040Z,"26km SE of Pecos, Texas",earthquake,5.4,6.1,0.142,13,reviewed,us,us
2018-11-25T05:16:12.230Z,36.3623,-98.1575,6.46,2.7,ml,,70,0.039,0.24,us,us1000hwaw,2019-02-02T20:02:30.040Z,"22km SSE of Helena, Oklahoma",earthquake,0.9,2.5,0.145,26,reviewed,ok,ok
2018-11-24T08:04:34.880Z,32.0645,-115.206,10.99,2.87,ml,18,284,0.6368,0.34,ci,ci38143375,2018-11-26T22:00:26.101Z,"18km S of Alberto Oviedo Mota, B.C., MX",earthquake,1.22,31.61,0.174,51,reviewed,ci,ci
2018-11-23T20:35:33.940Z,44.0135,-105.4689,0,3.1,ml,,126,1.038,0.98,us,us1000hxxy,2019-02-02T20:02:32.040Z,"Wyoming",mining explosion,7.8,1.6,0.059,38,reviewed,us,us
2018-11-23T14:59:55.020Z,34.4363333,-85.0358333,9.46,2.72,md,22,73,0.1922,0.13,se,se60245456,2019-02-02T20:02:29.040Z,"10km SW of Calhoun, Georgia",earthquake,0.4,0.61,0.115,19,reviewed,se,se
2018-11-23T14:43:09.270Z,31.0586,-103.3193,5,3.1,mb_lg,,58,0.138,0.72,us,us1000hvsq,2019-02-02T20:02:29.040Z,"43km SSE of Pecos, Texas",earthquake,1.4,1.8,0.089,41,reviewed,us,us
2018-11-23T11:08:41.547Z,40.5846,-119.6967,4.8,2.5,ml,10,151.56,0.648,0.1701,nn,nn00666675,2019-02-02T20:02:32.040Z,"26km W of Gerlach-Empire, Nevada",earthquake,,9.2,0.21,8,reviewed,nn,nn
2018-11-23T09:54:00.550Z,40.2191667,-122.1323333,19.1,2.56,md,19,82,0.01195,0.09,nc,nc73114261,2018-11-24T03:57:04.404Z,"10km ENE of Red Bluff, CA",earthquake,0.35,0.59,0.136,35,reviewed,nc,nc
2018-11-23T05:35:48.110Z,45.3623,-116.1946,10,3,ml,,65,0.307,0.9,us,us1000hvlk,2019-02-02T20:02:25.040Z,"50km N of McCall, Idaho",earthquake,3.4,2,0.048,58,reviewed,us,us
2018-11-23T01:53:53.080Z,34.0699,-97.454,5,2.6,mb_lg,,30,0.24,0.86,us,us1000hvl4,2019-02-02T20:02:29.040Z,"10km SSW of Wilson, Oklahoma",earthquake,1.4,1.9,0.124,17,reviewed,us,us
2018-11-22T23:01:52.440Z,36.9198,-97.9274,5,3.1,ml,,71,0.047,0.52,us,us1000hvkd,2019-02-02T20:02:28.040Z,"21km NW of Medford, Oklahoma",earthquake,1.2,2.7,,8,reviewed,ok,ok
2018-11-22T20:54:06.060Z,36.445,-89.5366667,9.54,2.87,md,44,33,0.05616,0.08,nm,nm60245416,2019-02-02T20:02:28.040Z,"9km NW of Tiptonville, Tennessee",earthquake,0.11,0.3,0.113,53,reviewed,nm,nm
2018-11-22T05:41:09.400Z,37.6716,-105.4909,5.86,2.5,ml,,118,0.074,0.13,us,us1000hxiy,2019-02-02T20:02:32.040Z,"37km NE of Alamosa East, Colorado",earthquake,1.5,2.9,0.079,21,reviewed,us,us
2018-11-22T05:41:05.580Z,37.6644,-105.4787,5.35,2.5,ml,,118,0.083,0.22,us,us1000hxiq,2019-02-02T20:02:32.040Z,"38km ENE of Alamosa East, Colorado",earthquake,1.7,3,,,reviewed,us,us
2018-11-22T03:26:24.500Z,35.8055,-98.6822,4.43,2.8,ml,,162,0.16,0.63,us,us1000hvaq,2019-02-02T20:02:28.040Z,"9km NE of Thomas, Oklahoma",earthquake,1.6,4.3,0.151,15,reviewed,ok,ok
2018-11-22T01:55:41.000Z,36.4481667,-89.5365,9.77,3.12,md,71,27,0.05864,0.1,nm,nm60245401,2019-02-02T20:02:28.040Z,"9km NW of Tiptonville, Tennessee",earthquake,0.11,0.24,0.1,70,reviewed,nm,nm
2018-11-21T21:20:49.715Z,38.8614,-118.8762,8.7,2.5,ml,34,77.12,0.31,0.141,nn,nn00666572,2019-02-02T20:02:28.040Z,"28km ESE of Yerington, Nevada",earthquake,,1.9,0.31,14,reviewed,nn,nn
2018-11-20T22:39:05.970Z,45.9525,-115.7774,12.95,4.1,mwr,,33,0.879,0.62,us,us1000hupx,2019-02-02T20:02:25.040Z,"26km E of Grangeville, Idaho",earthquake,2.2,7.1,0.038,66,reviewed,us,us
2018-11-20T21:06:42.090Z,43.8086,-105.3451,0,3.4,ml,,67,0.995,1.13,us,us1000humi,2019-02-02T20:02:27.040Z,"Wyoming",mining explosion,6.6,1.8,0.056,54,reviewed,us,us
2018-11-20T19:07:57.220Z,37.8088333,-122.1956667,6.88,2.55,md,97,24,0.01598,0.09,nc,nc73113341,2019-01-17T16:42:36.212Z,"3km ENE of Oakland, CA",earthquake,0.1,0.15,0.191,85,reviewed,nc,nc
2018-11-20T17:26:00.200Z,35.6692,-97.3983,6.84,2.7,ml,,39,0.083,0.38,us,us1000huhc,2019-02-02T20:02:27.040Z,"7km ENE of Edmond, Oklahoma",earthquake,1,2.2,0.19,23,reviewed,ok,ok
2018-11-20T17:23:27.830Z,35.6703,-97.396,6.71,2.7,ml,,35,0.085,0.36,us,us1000hujp,2019-02-02T20:02:27.040Z,"7km ENE of Edmond, Oklahoma",earthquake,1.1,2.5,0.193,17,reviewed,ok,ok
2018-11-20T17:22:17.330Z,35.6649,-97.3768,5,2.9,ml,,47,0.146,0.51,us,us1000huha,2019-02-02T20:02:27.040Z,"9km E of Edmond, Oklahoma",earthquake,1,3,,31,reviewed,ok,ok
2018-11-20T07:11:38.710Z,44.3532,-114.9831,5,3.1,ml,,61,0.891,0.58,us,us1000hubi,2019-02-02T20:02:27.040Z,"62km WSW of Challis, Idaho",earthquake,6,2,0.244,31,reviewed,us,mb
2018-11-20T06:31:41.500Z,32.2175,-115.238,21.83,2.5,ml,25,118,0.2093,0.27,ci,ci38138791,2018-11-20T22:50:04.850Z,"6km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.75,2.24,0.277,24,reviewed,ci,ci
2018-11-20T06:16:51.020Z,32.2355,-115.2345,20.18,2.78,ml,22,147,0.1929,0.27,ci,ci38138751,2018-11-21T00:36:22.199Z,"6km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.68,1.52,0.24,87,reviewed,ci,ci
2018-11-20T03:35:51.460Z,32.4861667,-115.582,18.63,2.59,ml,35,108,0.1857,0.27,ci,ci38138639,2018-11-24T07:17:32.568Z,"10km S of Progreso, B.C., MX",earthquake,0.52,0.77,0.168,64,reviewed,ci,ci
2018-11-20T03:15:23.110Z,32.2251667,-115.2083333,18.9,2.56,ml,15,182,0.2103,0.24,ci,ci38138623,2018-11-20T21:31:04.690Z,"4km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.61,1.07,0.234,27,reviewed,ci,ci
2018-11-20T01:37:39.420Z,32.2201653,-115.231163,22.52,3.52,ml,28,164,0.2084,0.33,ci,ci38138535,2019-02-02T20:02:27.040Z,"6km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.89,2.15,0.308,22,reviewed,ci,ci
2018-11-19T23:51:18.840Z,32.215,-115.2321667,19.65,3.26,ml,27,165,0.213,0.32,ci,ci38138431,2019-02-02T20:02:27.040Z,"6km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.86,1.12,0.204,127,reviewed,ci,ci
2018-11-19T23:49:15.230Z,32.2073333,-115.226,18.63,3.51,ml,28,167,0.2219,0.37,ci,ci38138415,2019-02-02T20:02:27.040Z,"6km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.89,1.37,0.216,226,reviewed,ci,ci
2018-11-19T21:47:48.920Z,32.2336667,-115.2161667,16.55,2.86,ml,20,181,0.2,0.21,ci,ci38138279,2018-11-21T00:09:45.888Z,"4km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.6,1.93,0.151,24,reviewed,ci,ci
2018-11-19T21:42:23.840Z,32.2371667,-115.2665,5.94,2.76,ml,24,143,0.1847,0.49,ci,ci38138255,2018-11-21T21:31:38.968Z,"9km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.77,31.61,0.154,21,reviewed,ci,ci
2018-11-19T20:57:19.480Z,32.2388333,-115.2538333,19.6,2.58,ml,16,158,0.1853,0.25,ci,ci38138223,2019-02-02T20:02:26.040Z,"8km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.63,1.08,0.162,50,reviewed,ci,ci
2018-11-19T20:25:01.260Z,32.2325,-115.251,21.33,3.22,ml,22,146,0.192,0.29,ci,ci38138183,2019-02-02T20:02:25.040Z,"8km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.63,1.54,0.162,81,reviewed,ci,ci
2018-11-19T20:18:42.510Z,32.2065,-115.2535,10.95,4.82,mw,29,149,0.2168,0.38,ci,ci38138175,2019-02-02T20:02:26.040Z,"8km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.79,31.61,,6,reviewed,ci,ci
2018-11-19T18:12:55.280Z,35.0272,-97.623,9.2,3,ml,,42,0.095,0.69,us,us1000hu0b,2019-02-02T20:02:26.040Z,"12km SSE of Blanchard, Oklahoma",earthquake,1.2,8.1,0.129,19,reviewed,ok,ok
2018-11-19T11:09:13.050Z,47.698,-123.551666666667,39.32,4.07,ml,53,62,,0.24,uw,uw61504942,2019-02-02T20:02:25.040Z,"33km NE of Quinault Census Designated Place, Washington",earthquake,0.35,0.38,0.174372415030636,40,reviewed,uw,uw
2018-11-19T09:01:04.160Z,38.7697,-97.5578,5,2.6,mb_lg,,90,0.81,0.28,us,us1000htu2,2019-02-02T20:02:26.040Z,"9km SSE of Salina, Kansas",earthquake,1.7,2,0.083,38,reviewed,us,us
2018-11-19T07:44:09.420Z,38.7004,-97.6455,5,2.7,mb_lg,,90,0.88,1.31,us,us1000htth,2019-02-02T20:02:26.040Z,"14km N of Lindsborg, Kansas",earthquake,2.6,1.9,0.08,41,reviewed,us,us
2018-11-18T21:51:23.480Z,43.5811,-105.384,0,3.2,ml,,101,1.114,0.7,us,us1000hvww,2019-01-30T18:36:29.040Z,"Wyoming",mining explosion,4.6,2,0.048,56,reviewed,us,us
2018-11-18T21:01:21.070Z,43.8928,-105.4676,0,3.4,ml,,88,1.058,0.47,us,us1000htnm,2019-01-30T18:36:26.040Z,"Wyoming",mining explosion,6.1,1.7,0.041,78,reviewed,us,us
2018-11-18T20:59:57.320Z,40.3153333,-124.6623333,14.86,2.64,md,33,249,0.2866,0.27,nc,nc73112531,2018-11-21T04:56:03.324Z,"32km W of Petrolia, CA",earthquake,1.14,0.94,0.181,34,reviewed,nc,nc
2018-11-18T13:46:55.630Z,37.3662,-97.9782,5,2.7,mb_lg,,139,0.07,0.16,us,us1000htju,2019-01-30T18:36:26.040Z,"9km NNE of Harper, Kansas",earthquake,2,1.9,0.104,24,reviewed,us,us
2018-11-18T12:03:52.610Z,40.3841667,-124.636,24,2.51,md,28,249,0.2455,0.13,nc,nc71109879,2018-11-28T01:58:03.225Z,"30km WNW of Petrolia, CA",earthquake,0.62,1.13,0.186,24,reviewed,nc,nc
2018-11-18T11:55:38.570Z,37.3514,-97.9859,2.1,2.8,mb_lg,,138,0.054,0.23,us,us1000htiy,2019-01-30T18:36:26.040Z,"8km NNE of Harper, Kansas",earthquake,1.8,4.6,0.104,24,reviewed,us,us
2018-11-18T04:57:58.210Z,35.8532,-97.8183,6.54,3,ml,,51,0.171,0.23,us,us1000htf6,2019-01-30T18:36:22.040Z,"10km E of Kingfisher, Oklahoma",earthquake,0.7,5.1,0.178,25,reviewed,ok,ok
2018-11-18T03:48:51.660Z,36.4558,-96.872,4.83,2.6,ml,,72,,0.35,us,us1000htef,2019-01-30T18:36:22.040Z,"14km NNW of Pawnee, Oklahoma",earthquake,1.2,1.2,0.237,20,reviewed,ok,ok
2018-11-18T03:20:00.090Z,35.0255,-97.6213,9.17,2.8,ml,,44,0.095,0.55,us,us1000hte2,2019-01-30T18:36:22.040Z,"12km SSE of Blanchard, Oklahoma",earthquake,1.4,8.3,0.195,15,reviewed,ok,ok
